"","name","tomato_score","audience_score"
"1","Toy Story 4",0.97,0.94
"2","Annabelle Comes Home",0.65,0.7
"3","Yesterday",0.63,0.89
"4","Aladdin",0.57,0.94
"5","The Secret Life of Pets 2",0.6,0.9
"6","Men in Black International",0.22,0.66
"7","Avengers: Endgame",0.94,0.91
"8","Child's Play",0.63,0.57
"9","Rocketman",0.89,0.88
"10","John Wick: Chapter 3 - Parabellum",0.9,0.87
"11","Godzilla: King of the Monsters",0.41,0.83
"12","Dark Phoenix",0.23,0.64
"13","Anna",0.36,0.81
"14","Shaft",0.32,0.94
"15","Late Night",0.79,0.77
"16","Ma",0.54,0.64
"17","Pavarotti",0.86,0.98
"18","The Dead Don't Die",0.55,0.38
"19","The Other Side of Heaven 2: Fire of Faith",0.71,0.95
"20","The Last Black Man in San Francisco",0.93,0.84
"21","Pokémon Detective Pikachu",0.68,0.8
"22","Booksmart",0.97,0.77
"23","Echo In the Canyon",0.94,0.92
"24","The Biggest Little Farm",0.91,0.96
"25","A Dog's Journey",0.51,0.92
"26","The Hustle",0.14,0.45
"27","Dumbo",0.47,0.5
"28","Shazam!",0.9,0.84
"29","Wild Rose",0.93,0.88
"30","Toni Morrison: The Pieces I Am",0.97,0.96
"31","Maiden",0.98,0.97
"32","The Spy Behind Home Plate",0.74,0.85
"33","The Curse of La Llorona",0.29,0.41
"34","The White Crow",0.66,0.83
"35","UglyDolls",0.28,0.57
"36","Apollo 11",0.99,0.91
"37","Captain Marvel",0.78,0.54
"38","The Souvenir",0.9,0.33
"39","Breakthrough",0.61,0.82
"40","All Is True",0.71,0.74
"41","The Other Story",0.69,0.88
"42","Being Frank",0.33,0.76
"43","Amazing Grace",0.99,0.83
"44","Chasing the Dragon 2: Wild Wild Bunch",0.75,0.58
"45","Paris Is Burning",1,0.89
"46","Papi Chulo",0.73,0.76
"47","Dogman",0.83,0.79
"48","The Fall of the American Empire (La chute de l'empire américain)",0.59,0.73
"49","A Bigger Splash",1,0.42
"50","The Queen",0.94,0.68
"51","Série Noire",0.93,NA
"52","ANTHROPOCENE: The Human Epoch",0.92,NA
"53","The Death of Dick Long",0.75,NA
"54","Abominable",0.8,0.95
"55","Sink or Swim (Le grand bain)",0.78,0.77
"56","Joker",0.77,NA
"57","Gregory's Girl",0.94,0.81
"58","The Addams Family",NA,NA
"59","Polaroid",0.44,NA
