"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	195	4430141	4.4
	"Alabama"	"01"	"2000"	"2000"	232	4447100	5.2
	"Alabama"	"01"	"2001"	"2001"	253	4467634	5.7
	"Alabama"	"01"	"2002"	"2002"	248	4480089	5.5
	"Alabama"	"01"	"2003"	"2003"	255	4503491	5.7
	"Alabama"	"01"	"2004"	"2004"	327	4530729	7.2
	"Alabama"	"01"	"2005"	"2005"	332	4569805	7.3
	"Alabama"	"01"	"2006"	"2006"	466	4628981	10.1
	"Alabama"	"01"	"2007"	"2007"	554	4672840	11.9
	"Alabama"	"01"	"2008"	"2008"	646	4718206	13.7
	"Alabama"	"01"	"2009"	"2009"	688	4757938	14.5
	"Alabama"	"01"	"2010"	"2010"	585	4779736	12.2
	"Alabama"	"01"	"2011"	"2011"	605	4802740	12.6
	"Alabama"	"01"	"2012"	"2012"	632	4822023	13.1
	"Alabama"	"01"	"2013"	"2013"	648	4833722	13.4
	"Alabama"	"01"	"2014"	"2014"	800	4849377	16.5
	"Alabama"	"01"	"2015"	"2015"	810	4858979	16.7
	"Alabama"	"01"	"2016"	"2016"	855	4863300	17.6
	"Alabama"	"01"	"2017"	"2017"	960	4874747	19.7
	"Alaska"	"02"	"1999"	"1999"	56	624779	9.0
	"Alaska"	"02"	"2000"	"2000"	54	626932	8.6
	"Alaska"	"02"	"2001"	"2001"	72	633714	11.4
	"Alaska"	"02"	"2002"	"2002"	85	642337	13.2
	"Alaska"	"02"	"2003"	"2003"	86	648414	13.3
	"Alaska"	"02"	"2004"	"2004"	92	659286	14.0
	"Alaska"	"02"	"2005"	"2005"	85	666946	12.7
	"Alaska"	"02"	"2006"	"2006"	85	675302	12.6
	"Alaska"	"02"	"2007"	"2007"	75	680300	11.0
	"Alaska"	"02"	"2008"	"2008"	132	687455	19.2
	"Alaska"	"02"	"2009"	"2009"	133	698895	19.0
	"Alaska"	"02"	"2010"	"2010"	84	710231	11.8
	"Alaska"	"02"	"2011"	"2011"	107	722718	14.8
	"Alaska"	"02"	"2012"	"2012"	132	731449	18.0
	"Alaska"	"02"	"2013"	"2013"	110	735132	15.0
	"Alaska"	"02"	"2014"	"2014"	127	736732	17.2
	"Alaska"	"02"	"2015"	"2015"	127	738432	17.2
	"Alaska"	"02"	"2016"	"2016"	138	741894	18.6
	"Alaska"	"02"	"2017"	"2017"	158	739795	21.4
	"Arizona"	"04"	"1999"	"1999"	557	5023823	11.1
	"Arizona"	"04"	"2000"	"2000"	559	5130632	10.9
	"Arizona"	"04"	"2001"	"2001"	598	5273477	11.3
	"Arizona"	"04"	"2002"	"2002"	667	5396255	12.4
	"Arizona"	"04"	"2003"	"2003"	739	5510364	13.4
	"Arizona"	"04"	"2004"	"2004"	803	5652404	14.2
	"Arizona"	"04"	"2005"	"2005"	849	5839077	14.5
	"Arizona"	"04"	"2006"	"2006"	959	6029141	15.9
	"Arizona"	"04"	"2007"	"2007"	981	6167681	15.9
	"Arizona"	"04"	"2008"	"2008"	853	6280362	13.6
	"Arizona"	"04"	"2009"	"2009"	1041	6343154	16.4
	"Arizona"	"04"	"2010"	"2010"	1141	6392017	17.9
	"Arizona"	"04"	"2011"	"2011"	1118	6482505	17.2
	"Arizona"	"04"	"2012"	"2012"	1206	6553255	18.4
	"Arizona"	"04"	"2013"	"2013"	1304	6626624	19.7
	"Arizona"	"04"	"2014"	"2014"	1274	6731484	18.9
	"Arizona"	"04"	"2015"	"2015"	1351	6828065	19.8
	"Arizona"	"04"	"2016"	"2016"	1500	6931071	21.6
	"Arizona"	"04"	"2017"	"2017"	1628	7016270	23.2
	"Arkansas"	"05"	"1999"	"1999"	121	2651860	4.6
	"Arkansas"	"05"	"2000"	"2000"	151	2673400	5.6
	"Arkansas"	"05"	"2001"	"2001"	131	2691571	4.9
	"Arkansas"	"05"	"2002"	"2002"	190	2705927	7.0
	"Arkansas"	"05"	"2003"	"2003"	203	2724816	7.5
	"Arkansas"	"05"	"2004"	"2004"	249	2749686	9.1
	"Arkansas"	"05"	"2005"	"2005"	286	2781097	10.3
	"Arkansas"	"05"	"2006"	"2006"	307	2821761	10.9
	"Arkansas"	"05"	"2007"	"2007"	326	2848650	11.4
	"Arkansas"	"05"	"2008"	"2008"	390	2874554	13.6
	"Arkansas"	"05"	"2009"	"2009"	384	2896843	13.3
	"Arkansas"	"05"	"2010"	"2010"	374	2915918	12.8
	"Arkansas"	"05"	"2011"	"2011"	375	2937979	12.8
	"Arkansas"	"05"	"2012"	"2012"	398	2949131	13.5
	"Arkansas"	"05"	"2013"	"2013"	343	2959373	11.6
	"Arkansas"	"05"	"2014"	"2014"	377	2966369	12.7
	"Arkansas"	"05"	"2015"	"2015"	425	2978204	14.3
	"Arkansas"	"05"	"2016"	"2016"	423	2988248	14.2
	"Arkansas"	"05"	"2017"	"2017"	481	3004279	16.0
	"California"	"06"	"1999"	"1999"	3091	33499204	9.2
	"California"	"06"	"2000"	"2000"	2301	33871648	6.8
	"California"	"06"	"2001"	"2001"	1507	34479458	4.4
	"California"	"06"	"2002"	"2002"	3418	34871843	9.8
	"California"	"06"	"2003"	"2003"	3614	35253159	10.3
	"California"	"06"	"2004"	"2004"	3681	35574576	10.3
	"California"	"06"	"2005"	"2005"	3821	35827943	10.7
	"California"	"06"	"2006"	"2006"	4026	36021202	11.2
	"California"	"06"	"2007"	"2007"	4178	36250311	11.5
	"California"	"06"	"2008"	"2008"	4147	36604337	11.3
	"California"	"06"	"2009"	"2009"	4290	36961229	11.6
	"California"	"06"	"2010"	"2010"	4258	37253956	11.4
	"California"	"06"	"2011"	"2011"	4429	37691912	11.8
	"California"	"06"	"2012"	"2012"	4304	38041430	11.3
	"California"	"06"	"2013"	"2013"	4747	38332521	12.4
	"California"	"06"	"2014"	"2014"	4816	38802500	12.4
	"California"	"06"	"2015"	"2015"	5025	39144818	12.8
	"California"	"06"	"2016"	"2016"	5094	39250017	13.0
	"California"	"06"	"2017"	"2017"	5302	39536653	13.4
	"Colorado"	"08"	"1999"	"1999"	375	4226018	8.9
	"Colorado"	"08"	"2000"	"2000"	372	4301261	8.6
	"Colorado"	"08"	"2001"	"2001"	444	4425687	10.0
	"Colorado"	"08"	"2002"	"2002"	474	4490406	10.6
	"Colorado"	"08"	"2003"	"2003"	529	4528732	11.7
	"Colorado"	"08"	"2004"	"2004"	548	4575013	12.0
	"Colorado"	"08"	"2005"	"2005"	640	4631888	13.8
	"Colorado"	"08"	"2006"	"2006"	660	4720423	14.0
	"Colorado"	"08"	"2007"	"2007"	747	4803868	15.5
	"Colorado"	"08"	"2008"	"2008"	760	4889730	15.5
	"Colorado"	"08"	"2009"	"2009"	784	4972195	15.8
	"Colorado"	"08"	"2010"	"2010"	676	5029196	13.4
	"Colorado"	"08"	"2011"	"2011"	852	5116796	16.7
	"Colorado"	"08"	"2012"	"2012"	826	5187582	15.9
	"Colorado"	"08"	"2013"	"2013"	864	5268367	16.4
	"Colorado"	"08"	"2014"	"2014"	917	5355866	17.1
	"Colorado"	"08"	"2015"	"2015"	893	5456574	16.4
	"Colorado"	"08"	"2016"	"2016"	973	5540545	17.6
	"Colorado"	"08"	"2017"	"2017"	1050	5607154	18.7
	"Connecticut"	"09"	"1999"	"1999"	330	3386401	9.7
	"Connecticut"	"09"	"2000"	"2000"	336	3405565	9.9
	"Connecticut"	"09"	"2001"	"2001"	326	3432835	9.5
	"Connecticut"	"09"	"2002"	"2002"	377	3458749	10.9
	"Connecticut"	"09"	"2003"	"2003"	338	3484336	9.7
	"Connecticut"	"09"	"2004"	"2004"	360	3496094	10.3
	"Connecticut"	"09"	"2005"	"2005"	352	3506956	10.0
	"Connecticut"	"09"	"2006"	"2006"	458	3517460	13.0
	"Connecticut"	"09"	"2007"	"2007"	444	3527270	12.6
	"Connecticut"	"09"	"2008"	"2008"	397	3545579	11.2
	"Connecticut"	"09"	"2009"	"2009"	397	3561807	11.1
	"Connecticut"	"09"	"2010"	"2010"	372	3574097	10.4
	"Connecticut"	"09"	"2011"	"2011"	416	3580709	11.6
	"Connecticut"	"09"	"2012"	"2012"	451	3590347	12.6
	"Connecticut"	"09"	"2013"	"2013"	600	3596080	16.7
	"Connecticut"	"09"	"2014"	"2014"	639	3596677	17.8
	"Connecticut"	"09"	"2015"	"2015"	827	3590886	23.0
	"Connecticut"	"09"	"2016"	"2016"	997	3576452	27.9
	"Connecticut"	"09"	"2017"	"2017"	1103	3588184	30.7
	"Delaware"	"10"	"1999"	"1999"	55	774990	7.1
	"Delaware"	"10"	"2000"	"2000"	60	783600	7.7
	"Delaware"	"10"	"2001"	"2001"	70	795699	8.8
	"Delaware"	"10"	"2002"	"2002"	85	806169	10.5
	"Delaware"	"10"	"2003"	"2003"	88	818003	10.8
	"Delaware"	"10"	"2004"	"2004"	92	830803	11.1
	"Delaware"	"10"	"2005"	"2005"	67	845150	7.9
	"Delaware"	"10"	"2006"	"2006"	83	859268	9.7
	"Delaware"	"10"	"2007"	"2007"	102	871749	11.7
	"Delaware"	"10"	"2008"	"2008"	125	883874	14.1
	"Delaware"	"10"	"2009"	"2009"	139	891730	15.6
	"Delaware"	"10"	"2010"	"2010"	147	897934	16.4
	"Delaware"	"10"	"2011"	"2011"	166	907135	18.3
	"Delaware"	"10"	"2012"	"2012"	150	917092	16.4
	"Delaware"	"10"	"2013"	"2013"	170	925749	18.4
	"Delaware"	"10"	"2014"	"2014"	204	935614	21.8
	"Delaware"	"10"	"2015"	"2015"	208	945934	22.0
