"title","tomatometer","audience_score","url"
"Toy Story 4",97,94,"https://www.rottentomatoes.com/m/toy_story_4/"
"Annabelle Comes Home",65,70,"https://www.rottentomatoes.com/m/annabelle_comes_home/"
"Yesterday",63,89,"https://www.rottentomatoes.com/m/yesterday_2019/"
"Aladdin",57,94,"https://www.rottentomatoes.com/m/aladdin/"
"The Secret Life of Pets 2",60,90,"https://www.rottentomatoes.com/m/the_secret_life_of_pets_2/"
"Men in Black International",22,66,"https://www.rottentomatoes.com/m/men_in_black_international/"
"Avengers: Endgame",94,91,"https://www.rottentomatoes.com/m/avengers_endgame/"
"Child's Play",63,57,"https://www.rottentomatoes.com/m/childs_play_2019/"
"Rocketman",89,88,"https://www.rottentomatoes.com/m/rocketman_2019/"
"John Wick: Chapter 3 - Parabellum",90,87,"https://www.rottentomatoes.com/m/john_wick_chapter_3_parabellum/"
"Godzilla: King of the Monsters",41,83,"https://www.rottentomatoes.com/m/godzilla_king_of_the_monsters_2019/"
"Dark Phoenix",23,64,"https://www.rottentomatoes.com/m/dark_phoenix/"
"Anna",36,81,"https://www.rottentomatoes.com/m/anna_2019/"
"Shaft",32,94,"https://www.rottentomatoes.com/m/shaft_2019/"
"Late Night",79,77,"https://www.rottentomatoes.com/m/late_night_2019/"
"Ma",54,64,"https://www.rottentomatoes.com/m/ma_2019/"
"Pavarotti",86,98,"https://www.rottentomatoes.com/m/pavarotti/"
"The Dead Don't Die",55,38,"https://www.rottentomatoes.com/m/the_dead_dont_die_2019/"
"The Other Side of Heaven 2: Fire of Faith",71,95,"https://www.rottentomatoes.com/m/the_other_side_of_heaven_2_fire_of_faith/"
"The Last Black Man in San Francisco",93,84,"https://www.rottentomatoes.com/m/the_last_black_man_in_san_francisco/"
"Pokémon Detective Pikachu",68,80,"https://www.rottentomatoes.com/m/pokemon_detective_pikachu/"
"Booksmart",97,77,"https://www.rottentomatoes.com/m/booksmart/"
"Echo In the Canyon",94,92,"https://www.rottentomatoes.com/m/echo_in_the_canyon/"
"The Biggest Little Farm",91,96,"https://www.rottentomatoes.com/m/the_biggest_little_farm/"
"A Dog's Journey",51,92,"https://www.rottentomatoes.com/m/a_dogs_journey/"
"The Hustle",14,45,"https://www.rottentomatoes.com/m/the_hustle_2019/"
"Dumbo",47,50,"https://www.rottentomatoes.com/m/dumbo_2019/"
"Shazam!",90,84,"https://www.rottentomatoes.com/m/shazam/"
"Wild Rose",93,88,"https://www.rottentomatoes.com/m/wild_rose_2019/"
"Toni Morrison: The Pieces I Am",97,96,"https://www.rottentomatoes.com/m/toni_morrison_the_pieces_i_am/"
"Maiden",98,97,"https://www.rottentomatoes.com/m/maiden/"
"The Spy Behind Home Plate",74,85,"https://www.rottentomatoes.com/m/the_spy_behind_home_plate/"
"The Curse of La Llorona",29,41,"https://www.rottentomatoes.com/m/the_curse_of_la_llorona_2019/"
"The White Crow",66,83,"https://www.rottentomatoes.com/m/the_white_crow/"
"UglyDolls",28,57,"https://www.rottentomatoes.com/m/uglydolls/"
"Apollo 11",99,91,"https://www.rottentomatoes.com/m/apollo_11_2019/"
"Captain Marvel",78,54,"https://www.rottentomatoes.com/m/captain_marvel/"
"The Souvenir",90,33,"https://www.rottentomatoes.com/m/the_souvenir/"
"Breakthrough",61,82,"https://www.rottentomatoes.com/m/breakthrough_2019/"
"All Is True",71,74,"https://www.rottentomatoes.com/m/all_is_true/"
"The Other Story",69,88,"https://www.rottentomatoes.com/m/the_other_story/"
"Being Frank",33,76,"https://www.rottentomatoes.com/m/being_frank_2019/"
"Amazing Grace",99,83,"https://www.rottentomatoes.com/m/amazing_grace_2018/"
"Chasing the Dragon 2: Wild Wild Bunch",75,58,"https://www.rottentomatoes.com/m/chasing_the_dragon_2_wild_wild_bunch/"
"Paris Is Burning",100,89,"https://www.rottentomatoes.com/m/paris_is_burning/"
"Papi Chulo",73,76,"https://www.rottentomatoes.com/m/papi_chulo_2018/"
"Dogman",83,79,"https://www.rottentomatoes.com/m/dogman_2019/"
"The Fall of the American Empire (La chute de l'empire américain)",59,73,"https://www.rottentomatoes.com/m/the_fall_of_the_american_empire/"
"A Bigger Splash",100,42,"https://www.rottentomatoes.com/m/bigger_splash/"
"The Queen",94,68,"https://www.rottentomatoes.com/m/the_queen_1968/"
"Série Noire",NA,93,"https://www.rottentomatoes.com/m/serie_noire_2019/"
"ANTHROPOCENE: The Human Epoch",92,NA,"https://www.rottentomatoes.com/m/anthropocene_the_human_epoch/"
"The Death of Dick Long",76,NA,"https://www.rottentomatoes.com/m/the_death_of_dick_long/"
"Abominable",80,96,"https://www.rottentomatoes.com/m/abominable/"
"Sink or Swim (Le grand bain)",75,78,"https://www.rottentomatoes.com/m/sink_or_swim_2019/"
"Joker",77,NA,"https://www.rottentomatoes.com/m/joker_2019/"
"Gregory's Girl",94,81,"https://www.rottentomatoes.com/m/gregorys_girl/"
"The Addams Family",NA,NA,"https://www.rottentomatoes.com/m/the_addams_family_2019/"
"Polaroid",NA,43,"https://www.rottentomatoes.com/m/polaroid_2019/"
